MANUFACTURE,BRAND,ITEMDESC,QTY,UNIT,PACKSIZE,PACKTYPE
UNILEVER SRI LANKA LTD,LEVER AYUSH,"AYUSH/140(110G+30G)/GM/CDB/TOTAL ORAL CARE CAVITY PROTECTION, HEALTHY GUMS & REDUCES PLAQUE WITH CLOVE OIL & DASANAKANTHI CHOORNAM/SAVE RS.50/=",140,GM,140GM(110G×30G),CDB
PELWATTE DAIRY INDUSTRIES (PVT) LTD,PELWATTE,PELWATTE/200/GM/PLPCH/FULL CREAM ,200,GM,200GM,PLPCH 
GODAKANDA HERBALS (PVT) LTD - (VENDOL LANKA),VOLIN ,VOLIN/80/GM/CDB/WHITE BEAUTY WITH NATURAL MOISTURIZER/SAVE RS.35/=,80,GM,80GM ,CDB
JANRICH FOODS LTD,MAYA,MAYA/325/ML/PBT/SOY SAUCE ,325,ML,325ML,PBT
CHERISH BISCUIT (PVT) LTD,CHERISH KIT-O,CHERISH KIT-O/310/GM/PLPCH/STRAWBERRY CREAM ,310,GM,310GM,PLPCH 
PRABODHI FOOD PRODUCTS,PRABODHI,PRABODHI/60/GM/PLPCH/CUTTLEFISH FLAVOUR ,60,GM,60GM ,PLPCH 
PERFETTI VAN MELLE LANKA (PVT) LTD,CHUPA CHUPS,CHUPA CHUPS/1/NO/COLA FLAVOURED BUBBLE GUM FILLED LOLLIPOP(14GM),1,NO,1NO,10000
NESTLE LANKA,MAGGI HOT,MAGGI/75/GM/PLPCH/PAPARE BLAST,75,GM,75GM ,PLPCH 
SWADESHI INDUSTRIAL WORKS LTD,KHOMBA,KHOMBA/350(70G×5)/GM/CDB/ORIGINAL HERBAL CARE 5 IN 1 VALUE PACK/SAVE RS.50/=/FREE/KHOMBA/70/GM/CDB/CLEAR WITH LIME & CUCUMBER HERBAL BAR,350,GM,350GM(70G×5),CDB
PRABODHI FOOD PRODUCTS,PRABODHI,PRABODHI/60/GM/PLPCH/CURRY CHICKEN FLAVOUR ,60,GM,60GM ,PLPCH 
UNILEVER SRI LANKA LTD,LIFEBUOY,LIFEBUOY HEALTH SHAMPOO HERBAL SHAMPOO WITH HERBAL EXTRACTS/175ML/PLBOT + SAVE RS.50,175,ML,175ML,PLBOT
SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CHANDANALEPA KOHOMBA AYURVEDA SOAP/75GM/CDBOX,75,GM,75GM,CDBOX
SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CHANDANALEPA VENIVEL AYURVEDA SOAP/75GM/CDBOX,75,GM,75GM,CDBOX
CEYLON COLD STORES,ELEPHANT HOUSE ,ELEPANT HOUSES VEGAN FROZEN DESSERT PASSION FEELGOOD RANGE 320ML ,320,ML,320ML,CUP
NATURE'S BEAUTY CREATIONS LTD,MISUMI,MISUMI KIYO BEAUTY SOAP/65/GM/CD BOX,65,GM,65GM,CD BOX
UDAKANDA INDUSTRIES,SAPUMAL,SAPUMAL DETERGENT SOPE 150 GM,10000,10000,150 GM,EWRPK
UNILEVER SRI LANKA LTD,POND'S,POND'S/23/GM/CDBOX/BRIGHT BEAUTY SERUM CREAM NINCINAMIDE 98% PURE VITAMIN B3 ANTI-SPOT FORMULA/SAVE RS 90,23,GM,23GM,CDBOX 
RECKITT BENCKISER (LANKA) LTD,HARPIC,HARPIC/500/ML/PLBOT/POWER PLUS 10X ORIGINAL/SAVE RS 50,500,ML,500ML,PLBOT 
NESTLE LANKA,MAGGI,MAGGI/75/G/PLPCH/ PAPAER BLAST  INSTANT NOODLES ,75,GM,75G,PLPCH 
MALIBAN BISCUIT MANUFACTORIES,MALIBAN ,MALIBAN/490/G/PLPCH/CREAM CRACKER SAVE 60,490,GM,490G,PLPCH 
A.BAUR & CO.PVT LTD,PARACHUTE NATURAL,PARACHUTE NATURAL/180/ML/PBT/HAIRFALL CONTROL SHAMPOO COCONUT & GOTUKOLA.,180,ML,180ML,PBT
A.BAUR & CO.PVT LTD,PARACHUTE NATURAL,PARACHUTE NATURAL/180/ML/PBT/NOURISHING CARE SHAMPOO COCONUT & MUKUNUWENNA,180,ML,180ML,PBT
UNILEVER SRI LANKA LTD,VASELINE,VASELINE/200/ML/HEALTHY BRIGHT IN 2 WEEKS SERUM IN LOTION SAVE RS 265,200,ML,200ML,PBT
HARUMI HOLDINGS (PVT) LTD,PARACHUTE NATURAL,PARACHUTE NATURAL/180/ML/PBT/HAIRFALL CONTROL SHAMPOO COCONUT & GOTUKOLA,180,ML,180ML,PBT
NESTLE LANKA,MAGGI,MAGGI/75/GM/PLPCH/PAPARE BLAST,75,GM,75GM,PLPCH 
SUNRICH CONFECTIONERY (PVT) LTD,SUN RICH MILK CRUNCH,SUN RICH/315/G/PLPCH/MILK CRUNCH,315,GM,315G,PLPCH
PERFETTI VAN MELLE LANKA (PVT) LTD,CHUPA CHUPS,CHUPA CHUPS\14\GM\PLPCH\PAPER STICK COLA FLAVOUR BUBBLE GUM FILLED LOLLIPOP,14,GM,14GM,PLPCH
MULTICHEMI INTERNATIONAL LTD,DASH,DASH\100\ML\PBT\MAGIC SOFT FLORAL FRESH AFTER WASH FABRIC CONDITIONER,100,ML,100ML,PBT
MULTICHEMI INTERNATIONAL LTD,DASH,DASH\100\ML\PBT\MAGIC SOFT AQUA FRESH AFTER WASH FABRIC CONDITIONER,100,ML,100ML,PBT
ICL MARKETING,EVA,EVA/8/NO/STAR DRITEX WINGS SECURE FIT,10000,10000,8 NO,10000
SUNRICH CONFECTIONERY (PVT) LTD,SUN RICH ,SUN RICH/35/GM/PLPCH/VANILLA DOUBLE CREAM WAFERS ,35,GM,35GM,PLPCH
SUNRICH CONFECTIONERY (PVT) LTD,SUN RICH CHOCOLATE CREAMY WAFERS,SUN RICH/35/GM/PLPCH/CHOCOLATE DOUBLE CREAM WAFERS ,35,GM,35GM,PLPCH
HAYLEYS CONSUMER PRODUCTS LTD,OLAY,OLAY/50/GM/CDBOX/NATURAL AURA 7 IN ONE NIGHT NOURISHING REPAIR CREAM,50,GM,50GM,CDBOX
