CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,PACKSIZE_CLEAN,MATCH_STATUS,catcode,company,brand,sku,packtype,base_pack,wght,uom,qty,mrp
105,JT INTERNATIONAL - SA,CAMEL CONNECT,CAMEL CONNECT ORIGINAL,161.5,20,HL,20,BRAND,,,,,,,,,,
105,JT INTERNATIONAL - SA,CAMEL CONNECT,CAMEL CONNECT MINT CRUSH,239.0,20,HL,20,BRAND,,,,,,,,,,
118,COCA COLA COMPANY IMPRTD-IMPTD,THUMS UP ,THUMS UP\PBT\2000ML\CARBONATED ,158.4,2000ML,PBT,2000,PACKTYPE,,,,,,,,,,
118,COCA COLA COMPANY IMPRTD-IMPTD ,THUMS UP ,THUMS UP\750ML\PBT\CARBONATED ,64.0,750ML,PBT,750,PACKTYPE,,,,,,,,,,
134,CG FOODS- NEPAL,RIO ,RIO/GUAVA DELIGHT/180ML/TPK,25.0,180ML ,TPK,180,CATEGORY,,,,,,,,,,
134,RAYBOT SPRING'S MINERAL WATER-NEPAL,RAYBOT REFRESH,RAYBOT REFRESH-GUAVA PET 250 ML.,50.0,250 ML,PBT,250,CATEGORY,,,,,,,,,,
125,SHREE RAM TOBACCO UDHYOG,BHOLA ,BHOLA EXTRA POWER\7GM\PPH\RS:20\SHREE RAM TOBACCO UDHYOG NEPAL,20.0,7GM,PPH,7,BRAND,,,,,,,,,,
134,CG FOODS- NEPAL,RIO GUAVA DELIGHT,RIO GUAVA DELIGHT \180ML\RS 25,25.0,180 ML,TPK,180,CATEGORY,,,,,,,,,,
134,P.K. GENERAL DRINK LP.-THAILAND,BONKO LYCHEE,BONKO LYCHEE\320ML\RS,120.0,320 ML,PET,320,CATEGORY,,,,,,,,,,
134,AGRO THAI FOODS PVT LTD-NEPAL,XTREME,XTREME-ENERGY DRINK CLASSIC CAN 500ML,200.0,500ML,CAN,500,CATEGORY,,,,,,,,,,
118,VARUN BEVERAGE -NEPAL,7 UP,7 UP-LEMON-PET 2250ML FREE 250ML MOUNTAIN DEW RS50/-,270.0,2250ML,PET,2250,MATCHED,118,VARUN BEVERAGE -NEPAL,7 UP,PET 2250 ML+250 ML MOUNTAIN DEW FREE,PET,2250.000 ML,2250.0,ML,2250.0,270.0
134,"NICE JAL UDHYOG , NEPAL",RFS AQUA,RFS AQUA PROCESSED DRINKING WATER ,20.0,1000 ML.,PBT,1000,CATEGORY,,,,,,,,,,
134,"NICE JAL UDHYOG , NEPAL",RFS AQUA,RFS AQUA PROCESSED DRINKING WATER ,20.0,1000 ML.,PBT,1000,CATEGORY,,,,,,,,,,
134,API SPRING PVT.LTD NEPAL ,API SPRING,API SPRING/1000ML/PBT/MINRAL WATER,25.0,1000ML ,PBT,1000,CATEGORY,,,,,,,,,,
134,API SPRING PVT.LTD NEPAL ,API SPRING,API SPRING/1000ML/PBT/MINRAL WATER,25.0,1000ML ,PBT,1000,CATEGORY,,,,,,,,,,
134,API SPRING PVT.LTD NEPAL ,API SPRING,API SPRING/1000ML/PBT/MINRAL WATER,25.0,1000ML ,PBT,1000,CATEGORY,,,,,,,,,,
134,SINGAPORE BEVERAGE-NEPAL,FRUIT GEMS,FRUIT GEMS-LYCHEE-LYCHEE DRINK PET 250ML,100.0,250ML,PET,250,CATEGORY,,,,,,,,,,
134,RAYBOT SPRING'S MINERAL WATER-NEPAL,RAYBOT REFRESH,RAYBOT REFRESH-GUAVA PET 250ML,50.0,250ML,PET,250,CATEGORY,,,,,,,,,,
